I: (state)
	(0) 1.0
F: (state)
	(4) 0.487371863291
	(5) 0.026144327725
S: (state,symbol) 
	(0,0) 0.00487138272076
	(0,1) 0.584428126588
	(0,3) 0.301595831679
	(0,4) 0.109104659012
	(1,0) 0.206839075675
	(1,1) 0.0287064786789
	(1,2) 0.0703145683252
	(1,3) 0.269865016714
	(1,4) 0.424274860607
	(2,2) 1.0
	(3,3) 1.0
	(4,0) 0.787910845654
	(4,1) 0.212089154346
	(5,0) 0.597523463426
	(5,1) 0.402476536574
T: (state,symbol,state) 
	(0,0,2) 1.0
	(0,1,5) 1.0
	(0,3,5) 1.0
	(0,4,4) 1.0
	(1,0,5) 1.0
	(1,1,1) 1.0
	(1,2,5) 1.0
	(1,3,0) 1.0
	(1,4,4) 1.0
	(2,2,1) 1.0
	(3,3,1) 1.0
	(4,0,1) 1.0
	(4,1,2) 1.0
	(5,0,4) 1.0
	(5,1,1) 1.0
