ff_id, ff_symb, ff_ttype
1, a, 1
1, a, 1
1, a, 1
1, a, 1
1, b, 1
2, a, 1
2, a, 1
2, a, 1
2, a, 1
2, b, 1
3, a, 1
3, a, 1
3, a, 1
3, b, 1
3, b, 1
4, a, 1
4, a, 1
4, a, 1
4, b, 1
4, b, 1
5, a, 1
5, a, 1
5, a, 1
5, b, 1
5, b, 1
6, a, 1
6, a, 1
6, b, 1
6, a, 1
6, b, 1
7, a, 1
7, a, 1
7, b, 1
7, a, 1
7, b, 1
8, a, 1
8, a, 1
8, b, 1
8, a, 1
8, b, 1
9, a, 1
9, a, 1
9, b, 1
9, b, 1
9, b, 1
10, a, 1
10, a, 1
10, b, 1
10, b, 1
10, b, 1
11, a, 1
11, b, 1
11, a, 1
11, a, 1
11, b, 1
12, a, 1
12, b, 1
12, a, 1
12, a, 1
12, b, 1
13, a, 1
13, b, 1
13, a, 1
13, a, 1
13, b, 1
14, a, 1
14, b, 1
14, a, 1
14, b, 1
14, b, 1
15, a, 1
15, b, 1
15, b, 1
15, a, 1
15, b, 1
16, a, 1
16, b, 1
16, b, 1
16, a, 1
16, b, 1
17, a, 1
17, b, 1
17, b, 1
17, a, 1
17, b, 1
18, a, 1
18, b, 1
18, b, 1
18, b, 1
18, b, 1
19, a, 1
19, b, 1
19, b, 1
19, b, 1
19, b, 1
20, a, 1
20, b, 1
20, b, 1
20, b, 1
20, b, 1
