ff_id, ff_symb, ff_ttype, ff_sattr:s/val
1, a, 1, 1.0
1, a, 1, 1.0
1, a, 1, 1.0
1, a, 1, 2.0
1, b, 1, 2.0
2, a, 1, 1.0
2, a, 1, 1.0
2, a, 1, 1.0
2, a, 1, 2.0
2, b, 1, 2.0
3, a, 1, 1.0
3, a, 1, 1.0
3, a, 1, 2.0
3, b, 1, 2.0
3, b, 1, 2.0
4, a, 1, 1.0
4, a, 1, 1.0
4, a, 1, 1.0
4, b, 1, 1.0
4, b, 1, 2.0
5, a, 1, 2.0
5, a, 1, 2.0
5, a, 1, 1.0
5, b, 1, 1.0
5, b, 1, 1.0
6, a, 1, 2.0
6, a, 1, 2.0
6, b, 1, 1.0
6, a, 1, 1.0
6, b, 1, 1.0
7, a, 1, 2.0
7, a, 1, 2.0
7, b, 1, 1.0
7, a, 1, 2.0
7, b, 1, 1.0
8, a, 1, 1.0
8, a, 1, 1.0
8, b, 1, 2.0
8, a, 1, 2.0
8, b, 1, 2.0
9, a, 1, 1.0
9, a, 1, 1.0
9, b, 1, 2.0
9, b, 1, 2.0
9, b, 1, 2.0
10, a, 1, 1.0
10, a, 1, 1.0
10, b, 1, 2.0
10, b, 1, 2.0
10, b, 1, 2.0
11, a, 1, 1.0
11, b, 1, 2.0
11, a, 1, 1.0
11, a, 1, 2.0
11, b, 1, 1.0
12, a, 1, 2.0
12, b, 1, 2.0
12, a, 1, 2.0
12, a, 1, 1.0
12, b, 1, 1.0
13, a, 1, 1.0
13, b, 1, 2.0
13, a, 1, 2.0
13, a, 1, 1.0
13, b, 1, 1.0
14, a, 1, 2.0
14, b, 1, 2.0
14, a, 1, 2.0
14, b, 1, 1.0
14, b, 1, 1.0
15, a, 1, 1.0
15, b, 1, 1.0
15, b, 1, 2.0
15, a, 1, 2.0
15, b, 1, 2.0
16, a, 1, 1.0
16, b, 1, 1.0
16, b, 1, 1.0
16, a, 1, 2.0
16, b, 1, 1.0
17, a, 1, 2.0
17, b, 1, 1.0
17, b, 1, 2.0
17, a, 1, 1.0
17, b, 1, 2.0
18, a, 1, 1.0
18, b, 1, 1.0
18, b, 1, 1.0
18, b, 1, 1.0
18, b, 1, 2.0
19, a, 1, 2.0
19, b, 1, 1.0
19, b, 1, 1.0
19, b, 1, 2.0
19, b, 1, 2.0
20, a, 1, 1.0
20, b, 1, 1.0
20, b, 1, 2.0
20, b, 1, 2.0
20, b, 1, 1.0
