ff_id, ff_symb, ff_ttype, ff_sattr:stf/value
1, a,0,0
1, a,0,1
1, a,0,0
1, a,0,-1
1, a,0,0
1, a,0,1
1, a,0,0
1, a,0,-1
1, a,0,0
1, a,0,1
2, a,0,0
2, a,0,-1
2, a,0,0
2, a,0,1
2, a,0,0
2, a,0,-1
2, a,0,0
2, a,0,1
2, a,0,0
2, a,0,-1
3, a,0,0
3, a,0,1
3, a,0,0
3, a,0,-1
3, a,0,0
3, a,0,1
3, a,0,0
3, a,0,-1
3, a,0,0
3, a,0,1
4, a,0,0
4, a,0,-1
4, a,0,0
4, a,0,1
4, a,0,0
4, a,0,-1
4, a,0,0
4, a,0,1
4, a,0,0
4, a,0,-1
5, a,0,0
5, a,0,1
5, a,0,0
5, a,0,-1
5, a,0,0
5, a,0,1
5, a,0,0
5, a,0,-1
5, a,0,0
5, a,0,1
6, a,0,0
6, a,0,-1
6, a,0,0
6, a,0,1
6, a,0,0
6, a,0,-1
6, a,0,0
6, a,0,1
6, a,0,0
6, a,0,-1
7, a,0,0
7, a,0,1
7, a,0,0
7, a,0,-1
7, a,0,0
7, a,0,1
7, a,0,0
7, a,0,-1
7, a,0,0
7, a,0,1
8, a,0,0
8, a,0,-1
8, a,0,0
8, a,0,1
8, a,0,0
8, a,0,-1
8, a,0,0
8, a,0,1
8, a,0,0
8, a,0,-1
9, a,0,0
9, a,0,1
9, a,0,0
9, a,0,-1
9, a,0,0
9, a,0,1
9, a,0,0
9, a,0,-1
9, a,0,0
9, a,0,1
10, a,0,0
10, a,0,-1
10, a,0,0
10, a,0,1
10, a,0,0
10, a,0,-1
10, a,0,0
10, a,0,1
10, a,0,0
10, a,0,-1
11, a,0,0
11, a,0,1
11, a,0,0
11, a,0,-1
11, a,0,0
11, a,0,1
11, a,0,0
11, a,0,-1
11, a,0,0
11, a,0,1
12, a,0,0
12, a,0,-1
12, a,0,0
12, a,0,1
12, a,0,0
12, a,0,-1
12, a,0,0
12, a,0,1
12, a,0,0
12, a,0,-1
13, a,0,0
13, a,0,1
13, a,0,0
13, a,0,-1
13, a,0,0
13, a,0,1
13, a,0,0
13, a,0,-1
13, a,0,0
13, a,0,1
14, a,0,0
14, a,0,-1
14, a,0,0
14, a,0,1
14, a,0,0
14, a,0,-1
14, a,0,0
14, a,0,1
14, a,0,0
14, a,0,-1
15, a,0,0
15, a,0,1
15, a,0,0
15, a,0,-1
15, a,0,0
15, a,0,1
15, a,0,0
15, a,0,-1
15, a,0,0
15, a,0,1
16, a,0,0
16, a,0,-1
16, a,0,0
16, a,0,1
16, a,0,0
16, a,0,-1
16, a,0,0
16, a,0,1
16, a,0,0
16, a,0,-1
17, a,0,0
17, a,0,1
17, a,0,0
17, a,0,-1
17, a,0,0
17, a,0,1
17, a,0,0
17, a,0,-1
17, a,0,0
17, a,0,1
18, a,0,0
18, a,0,-1
18, a,0,0
18, a,0,1
18, a,0,0
18, a,0,-1
18, a,0,0
18, a,0,1
18, a,0,0
18, a,0,-1
19, a,0,0
19, a,0,1
19, a,0,0
19, a,0,-1
19, a,0,0
19, a,0,1
19, a,0,0
19, a,0,-1
19, a,0,0
19, a,0,1
20, a,0,0
20, a,0,-1
20, a,0,0
20, a,0,1
20, a,0,0
20, a,0,-1
20, a,0,0
20, a,0,1
20, a,0,0
20, a,0,-1
21, a,0,0
21, a,0,1
21, a,0,0
21, a,0,-1
21, a,0,0
21, a,0,1
21, a,0,0
21, a,0,-1
21, a,0,0
21, a,0,1
22, a,0,0
22, a,0,-1
22, a,0,0
22, a,0,1
22, a,0,0
22, a,0,-1
22, a,0,0
22, a,0,1
22, a,0,0
22, a,0,-1
23, a,0,0
23, a,0,1
23, a,0,0
23, a,0,-1
23, a,0,0
23, a,0,1
23, a,0,0
23, a,0,-1
23, a,0,0
23, a,0,1
24, a,0,0
24, a,0,-1
24, a,0,0
24, a,0,1
24, a,0,0
24, a,0,-1
24, a,0,0
24, a,0,1
24, a,0,0
24, a,0,-1
25, a,0,0
25, a,0,1
25, a,0,0
25, a,0,-1
25, a,0,0
25, a,0,1
25, a,0,0
25, a,0,-1
25, a,0,0
25, a,0,1
26, a,0,0
26, a,0,-1
26, a,0,0
26, a,0,1
26, a,0,0
26, a,0,-1
26, a,0,0
26, a,0,1
26, a,0,0
26, a,0,-1
27, a,0,0
27, a,0,1
27, a,0,0
27, a,0,-1
27, a,0,0
27, a,0,1
27, a,0,0
27, a,0,-1
27, a,0,0
27, a,0,1
28, a,0,0
28, a,0,-1
28, a,0,0
28, a,0,1
28, a,0,0
28, a,0,-1
28, a,0,0
28, a,0,1
28, a,0,0
28, a,0,-1
29, a,0,0
29, a,0,1
29, a,0,0
29, a,0,-1
29, a,0,0
29, a,0,1
29, a,0,0
29, a,0,-1
29, a,0,0
29, a,0,1
30, a,0,0
30, a,0,-1
30, a,0,0
30, a,0,1
30, a,0,0
30, a,0,-1
30, a,0,0
30, a,0,1
30, a,0,0
30, a,0,-1
31, a,0,0
31, a,0,1
31, a,0,0
31, a,0,-1
31, a,0,0
31, a,0,1
31, a,0,0
31, a,0,-1
31, a,0,0
31, a,0,1
32, a,0,0
32, a,0,-1
32, a,0,0
32, a,0,1
32, a,0,0
32, a,0,-1
32, a,0,0
32, a,0,1
32, a,0,0
32, a,0,-1
33, a,0,0
33, a,0,1
33, a,0,0
33, a,0,-1
33, a,0,0
33, a,0,1
33, a,0,0
33, a,0,-1
33, a,0,0
33, a,0,1
34, a,0,0
34, a,0,-1
34, a,0,0
34, a,0,1
34, a,0,0
34, a,0,-1
34, a,0,0
34, a,0,1
34, a,0,0
34, a,0,-1
35, a,0,0
35, a,0,1
35, a,0,0
35, a,0,-1
35, a,0,0
35, a,0,1
35, a,0,0
35, a,0,-1
35, a,0,0
35, a,0,1
36, a,0,0
36, a,0,-1
36, a,0,0
36, a,0,1
36, a,0,0
36, a,0,-1
36, a,0,0
36, a,0,1
36, a,0,0
36, a,0,-1
37, a,0,0
37, a,0,1
37, a,0,0
37, a,0,-1
37, a,0,0
37, a,0,1
37, a,0,0
37, a,0,-1
37, a,0,0
37, a,0,1
38, a,0,0
38, a,0,-1
38, a,0,0
38, a,0,1
38, a,0,0
38, a,0,-1
38, a,0,0
38, a,0,1
38, a,0,0
38, a,0,-1
39, a,0,0
39, a,0,1
39, a,0,0
39, a,0,-1
39, a,0,0
39, a,0,1
39, a,0,0
39, a,0,-1
39, a,0,0
39, a,0,1
40, a,0,0
40, a,0,-1
40, a,0,0
40, a,0,1
40, a,0,0
40, a,0,-1
40, a,0,0
40, a,0,1
40, a,0,0
40, a,0,-1
41, a,0,0
41, a,0,1
41, a,0,0
41, a,0,-1
41, a,0,0
41, a,0,1
41, a,0,0
41, a,0,-1
41, a,0,0
41, a,0,1
42, a,0,0
42, a,0,-1
42, a,0,0
42, a,0,1
42, a,0,0
42, a,0,-1
42, a,0,0
42, a,0,1
42, a,0,0
42, a,0,-1
43, a,0,0
43, a,0,1
43, a,0,0
43, a,0,-1
43, a,0,0
43, a,0,1
43, a,0,0
43, a,0,-1
43, a,0,0
43, a,0,1
44, a,0,0
44, a,0,-1
44, a,0,0
44, a,0,1
44, a,0,0
44, a,0,-1
44, a,0,0
44, a,0,1
44, a,0,0
44, a,0,-1
45, a,0,0
45, a,0,1
45, a,0,0
45, a,0,-1
45, a,0,0
45, a,0,1
45, a,0,0
45, a,0,-1
45, a,0,0
45, a,0,1
